sa3_home,sa3_work,count
,21201,131
,21202,675
,21203,457
,21204,5095
,21205,3965
,21301,128
,21302,153
,21303,139
,21304,52
,21305,149
,21401,2393
,21402,777
20804,20601,51
,20602,43
,20603,45
,20604,5707
,20605,1268
,20606,1269
,20607,963
,20701,1407
,20702,81
,20703,379
,20801,261
,20802,788
,20803,394
,20804,3555
,20901,110
,20902,60
,20903,10
,20904,45
,21001,56
,21002,0
,21003,11
,21004,0
,21005,101
,21101,231
,21102,5
,21103,85
,21104,92
,21105,35
,21201,31
,21202,116
,21203,58
,21204,611
,21205,1418
,21301,74
,21302,74
,21303,87
,21304,20
,21305,71
,21401,88
,21402,44
20901,20601,762
,20602,1084
,20603,299
,20604,11779
,20605,1551
,20606,470
,20607,2866
,20701,2387
,20702,1504
,20703,1214
,20801,95
,20802,203
,20803,192
,20804,182
,20901,14472
,20902,3505
,20903,1786
,20904,3660
,21001,602
,21002,14
,21003,417
,21004,36
,21005,2086
,21101,435
,21102,108
,21103,470
,21104,376
,21105,186
,21201,20
,21202,80
,21203,18
,21204,469
,21205,969
,21301,404
,21302,225
,21303,329
,21304,101
,21305,270
,21401,64
,21402,45
20902,20601,1408
,20602,1597
,20603,429
,20604,9497
,20605,1321
,20606,412
,20607,2823
,20701,1015
,20702,462
,20703,464
,20801,82
,20802,146
,20803,143
,20804,130
,20901,2073
,20902,7993
,20903,215
,20904,2989
,21001,619
,21002,8
,21003,752
,21004,38
,21005,2241
,21101,181
,21102,18
,21103,165
,21104,127
,21105,67
,21201,15
,21202,49
,21203,10
,21204,230
,21205,490
,21301,451
,21302,196
,21303,383
,21304,96
,21305,275
,21401,39
,21402,28
20903,20601,261
,20602,355
,20603,100
,20604,4480
,20605,657
,20606,191
,20607,1015
,20701,987
,20702,1086
,20703,759
,20801,46
,20802,70
,20803,113
,20804,90
,20901,3900
,20902,1213
,20903,7786
,20904,2907
,21001,418
,21002,4
,21003,162
,21004,18
,21005,1536
,21101,439
,21102,280
,21103,661
,21104,303
,21105,458
,21201,16
,21202,50
,21203,8
,21204,316
,21205,598
,21301,179
,21302,119
,21303,122
,21304,62
,21305,132
,21401,33
,21402,20
20904,20601,1567
,20602,1301
,20603,670
,20604,11797
,20605,1942
,20606,426
,20607,2892
,20701,1475
,20702,1011
,20703,868
,20801,101
,20802,197
,20803,253
,20804,192
,20901,6005
,20902,6460
,20903,1826
,20904,28612
,21001,2050
,21002,69
,21003,1455
,21004,119
,21005,11289
,21101,414
,21102,83
,21103,382
,21104,272
,21105,168
,21201,20
,21202,86
,21203,23
,21204,538
,21205,935
,21301,1197
,21302,612
,21303,692
,21304,377
,21305,944
,21401,45
,21402,39
21001,20601,589
,20602,136
,20603,2042
,20604,5958
,20605,976
,20606,176
,20607,751
,20701,273
,20702,44
,20703,77
,20801,41
,20802,80
,20803,78
,20804,39
,20901,245
,20902,333
,20903,31
,20904,452
,21001,5244
,21002,41
,21003,426
,21004,111
,21005,2333
,21101,67
,21102,3
,21103,38
,21104,29
,21105,18
,21201,3
,21202,20
,21203,3
,21204,132
,21205,211
,21301,1626
,21302,459
,21303,1537
,21304,376
,21305,669
,21401,14
,21402,10
21002,20601,83
,20602,32
,20603,178
,20604,1728
,20605,322
,20606,48
,20607,184
,20701,74
,20702,20
,20703,23
,20801,0
,20802,16
,20803,30
,20804,16
,20901,57
,20902,100
,20903,15
,20904,270
,21001,634
,21002,4400
,21003,76
,21004,758
,21005,1271
,21101,22
,21102,0
,21103,12
,21104,3
,21105,6
,21201,0
,21202,13
,21203,3
,21204,45
,21205,69
,21301,513
,21302,131
,21303,205
,21304,405
,21305,278
,21401,5
,21402,8
21003,20601,1952
,20602,337
,20603,1083
,20604,8205
,20605,1261
,20606,259
,20607,1288
,20701,455
,20702,152
,20703,197
,20801,62
,20802,116
,20803,99
,20804,59
,20901,519
,20902,1004
,20903,58
,20904,1025
,21001,1436
,21002,31
,21003,4441
,21004,70
,21005,3675
,21101,85
,21102,13
,21103,52
,21104,46
,21105,30
,21201,14
,21202,32
,21203,9
,21204,168
,21205,324
,21301,769
,21302,274
,21303,630
,21304,209
,21305,443
,21401,16
,21402,6
21004,20601,225
,20602,50
,20603,372
,20604,2554
,20605,447
,20606,55
,20607,323
,20701,95
,20702,17
,20703,55
,20801,19
,20802,26
,20803,43
,20804,38
,20901,125
,20902,176
,20903,19
,20904,389
,21001,1407
,21002,674
,21003,191
,21004,4987
,21005,2506
,21101,29
,21102,0
,21103,11
,21104,16
,21105,5
,21201,0
,21202,12
,21203,10
,21204,62
,21205,104
,21301,1161
,21302,297
,21303,360
,21304,597
,21305,538
,21401,0
,21402,0
21005,20601,1565
,20602,378
,20603,1416
,20604,8410
,20605,1524
,20606,289
,20607,1284
,20701,472
,20702,174
,20703,206
,20801,70
,20802,111
,20803,134
,20804,79
,20901,951
,20902,1676
,20903,176
,20904,3962
,21001,4003
,21002,57
,21003,2189
,21004,211
,21005,23752
,21101,153
,21102,14
,21103,81
,21104,89
,21105,32
,21201,11
,21202,31
,21203,12
,21204,230
,21205,413
,21301,1649
,21302,654
,21303,1025
,21304,423
,21305,1061
,21401,32
,21402,19
21101,20601,108
,20602,128
,20603,43
,20604,7191
,20605,1556
,20606,576
,20607,1326
,20701,2378
,20702,766
,20703,3311
,20801,347
,20802,777
,20803,1578
,20804,849
,20901,378
,20902,231
,20903,82
,20904,187
,21001,136
,21002,3
,21003,37
,21004,9
,21005,287
,21101,22893
,21102,150
,21103,4717
,21104,2468
,21105,2372
,21201,324
,21202,1441
,21203,464
,21204,5657
,21205,8704
,21301,153
,21302,149
,21303,144
,21304,73
,21305,168
,21401,608
,21402,196
21102,20601,54
,20602,69
,20603,15
,20604,1756
,20605,264
,20606,89
,20607,431
,20701,640
,20702,1127
,20703,702
,20801,23
,20802,47
,20803,96
,20804,60
,20901,272
,20902,109
,20903,124
,20904,147
,21001,43
,21002,0
,21003,27
,21004,3
,21005,135
,21101,583
,21102,2008
,21103,1252
,21104,571
,21105,399
,21201,4
,21202,81
,21203,19
,21204,264
,21205,556
,21301,57
,21302,28
,21303,41
,21304,11
,21305,27
,21401,37
,21402,15
21103,20601,149
,20602,152
,20603,64
,20604,6575
,20605,984
,20606,342
,20607,1360
,20701,2127
,20702,1277
,20703,3129
,20801,127
,20802,274
,20803,537
,20804,314
,20901,565
,20902,274
,20903,156
,20904,243
,21001,114
,21002,0
,21003,64
,21004,0
,21005,265
,21101,5503
,21102,529
,21103,14429
,21104,2408
,21105,3784
,21201,110
,21202,341
,21203,119
,21204,1572
,21205,2872
,21301,90
,21302,106
,21303,119
,21304,38
,21305,113
,21401,210
,21402,88
21104,20601,83
,20602,100
,20603,55
,20604,5075
,20605,693
,20606,305
,20607,874
,20701,1648
,20702,796
,20703,2810
,20801,81
,20802,247
,20803,386
,20804,278
,20901,281
,20902,131
,20903,55
,20904,127
,21001,61
,21002,0
,21003,27
,21004,0
,21005,140
,21101,1751
,21102,161
,21103,1568
,21104,4958
,21105,467
,21201,55
,21202,171
,21203,76
,21204,1092
,21205,2339
,21301,63
,21302,56
,21303,82
,21304,17
,21305,59
,21401,109
,21402,49
21105,20601,101
,20602,128
,20603,57
,20604,4542
,20605,806
,20606,291
,20607,991
,20701,1669
,20702,740
,20703,2317
,20801,118
,20802,254
,20803,620
,20804,276
,20901,396
,20902,191
,20903,252
,20904,250
,21001,91
,21002,4
,21003,17
,21004,4
,21005,291
,21101,8060
,21102,348
,21103,8866
,21104,1849
,21105,26567
,21201,561
,21202,860
,21203,206
,21204,2367
,21205,3043
,21301,87
,21302,98
,21303,86
,21304,29
,21305,97
,21401,261
,21402,132
21201,20601,34
,20602,19
,20603,27
,20604,2110
,20605,461
,20606,202
,20607,349
,20701,416
,20702,83
,20703,419
,20801,191
,20802,296
,20803,991
,20804,242
,20901,51
,20902,48
,20903,19
,20904,64
,21001,40
,21002,0
,21003,8
,21004,8
,21005,90
,21101,1917
,21102,9
,21103,541
,21104,231
,21105,945
,21201,14173
,21202,4915
,21203,1727
,21204,5688
,21205,2672
,21301,75
,21302,71
,21303,43
,21304,19
,21305,75
,21401,742
,21402,344
21202,20601,58
,20602,39
,20603,42
,20604,4496
,20605,995
,20606,437
,20607,744
,20701,900
,20702,196
,20703,846
,20801,421
,20802,751
,20803,2460
,20804,579
,20901,90
,20902,108
,20903,27
,20904,94
,21001,75
,21002,4
,21003,16
,21004,0
,21005,152
,21101,2772
,21102,24
,21103,707
,21104,472
,21105,441
,21201,2276
,21202,14802
,21203,2306
,21204,11633
,21205,5513
,21301,101
,21302,122
,21303,136
,21304,54
,21305,135
,21401,1208
,21402,354
21203,20601,73
,20602,47
,20603,54
,20604,5126
,20605,1147
,20606,460
,20607,771
,20701,866
,20702,153
,20703,861
,20801,703
,20802,962
,20803,4193
,20804,584
,20901,107
,20902,83
,20903,31
,20904,123
,21001,105
,21002,3
,21003,10
,21004,6
,21005,192
,21101,2876
,21102,37
,21103,779
,21104,465
,21105,341
,21201,1774
,21202,7347
,21203,13792
,21204,15882
,21205,6028
,21301,151
,21302,157
,21303,97
,21304,52
,21305,171
,21401,4459
,21402,1985
21204,20601,124
,20602,96
,20603,92
,20604,7327
,20605,1837
,20606,834
,20607,1177
,20701,1265
,20702,290
,20703,1228
,20801,1660
,20802,2427
,20803,7951
,20804,1132
,20901,182
,20902,153
,20903,26
,20904,167
,21001,123
,21002,3
,21003,58
,21004,9
,21005,228
,21101,2573
,21102,39
,21103,695
,21104,531
,21105,350
,21201,383
,21202,1925
,21203,1265
,21204,24335
,21205,9208
,21301,212
,21302,212
,21303,204
,21304,81
,21305,195
,21401,1467
,21402,550
21205,20601,151
,20602,113
,20603,101
,20604,13183
,20605,2790
,20606,1358
,20607,2045
,20701,3134
,20702,513
,20703,2879
,20801,870
,20802,2323
,20803,2686
,20804,2258
,20901,324
,20902,246
,20903,42
,20904,201
,21001,144
,21002,10
,21003,60
,21004,0
,21005,330
,21101,3037
,21102,70
,21103,946
,21104,1176
,21105,360
,21201,236
,21202,1055
,21203,399
,21204,6030
,21205,22331
,21301,231
,21302,206
,21303,274
,21304,54
,21305,200
,21401,566
,21402,178
21301,20601,836
,20602,279
,20603,1475
,20604,13319
,20605,2794
,20606,462
,20607,1831
,20701,595
,20702,129
,20703,225
,20801,162
,20802,254
,20803,205
,20804,167
,20901,408
,20902,775
,20903,58
,20904,1441
,21001,3793
,21002,109
,21003,582
,21004,261
,21005,4479
,21101,167
,21102,8
,21103,83
,21104,97
,21105,47
,21201,12
,21202,49
,21203,28
,21204,355
,21205,553
,21301,19072
,21302,3054
,21303,5892
,21304,2799
,21305,4874
,21401,28
,21402,30
21302,20601,236
,20602,72
,20603,391
,20604,9836
,20605,2598
,20606,393
,20607,1209
,20701,514
,20702,55
,20703,159
,20801,119
,20802,164
,20803,179
,20804,139
,20901,118
,20902,166
,20903,13
,20904,214
,21001,514
,21002,16
,21003,99
,21004,21
,21005,784
,21101,95
,21102,5
,21103,28
,21104,44
,21105,11
,21201,7
,21202,41
,21203,4
,21204,203
,21205,457
,21301,2098
,21302,9614
,21303,2554
,21304,469
,21305,3882
,21401,25
,21402,7
21303,20601,524
,20602,164
,20603,987
,20604,13554
,20605,2503
,20606,575
,20607,1963
,20701,645
,20702,75
,20703,231
,20801,119
,20802,247
,20803,178
,20804,142
,20901,174
,20902,304
,20903,16
,20904,356
,21001,720
,21002,22
,21003,176
,21004,63
,21005,1085
,21101,124
,21102,9
,21103,65
,21104,83
,21105,25
,21201,11
,21202,40
,21203,4
,21204,203
,21205,449
,21301,2350
,21302,1565
