"sa1_maincode_2016","sa3","global_pr","sa3_pr"
21305146804,21305,0.000319758693348121,0.0124996876270042
21305146808,21305,1.11301668743024e-08,4.3508937226531e-07
21305146811,21305,0.000286538059204984,0.0112010597610587
21305146814,21305,0.0002424038511614,0.00947580935915819
21305146823,21305,0.000276410331380081,0.010805156735383
21401137001,21401,0.000218309858853903,0.0101325942118738
21401137008,21401,0.000238872469060855,0.0110869834742635
21401137025,21401,0.00024341622157573,0.0112978763797609
21401137026,21401,0.000279003055587147,0.0129495972420986
21401137027,21401,0.000292825296749518,0.0135911402376016
21401137028,21401,0.000243332215662796,0.0112939773445472
21401137029,21401,0.000264973851429654,0.01229844830366
21401137033,21401,0.000263732175358832,0.0122408173756099
21401137034,21401,0.000241747925302851,0.0112204443789937
21401137035,21401,0.000219528849292998,0.0101891722131256
21401137046,21401,0.000239516943952479,0.0111168960150478
21401137050,21401,0.000267353751366557,0.0124089085478839
21401137053,21401,0.000205125801308443,0.00952067175507109
21401137055,21401,0.000229592440962432,0.0106562619324616
21401137056,21401,0.000238416888685682,0.0110658382493215
21401137102,21401,0.000327392661041807,0.0151955436172134
21401137109,21401,0.000384673678961357,0.0178541743985667
21401137115,21401,0.000362419371125736,0.0168212669891245
21401137118,21401,0.00024813391171579,0.0115168423946607
21401137131,21401,0.000419474048724712,0.0194693924518714
21401137135,21401,0.000402011540239856,0.0186588907487996
21401137141,21401,0.000398725720631727,0.0185063833131878
21401137145,21401,0.000340530944946968,0.0158053415445735
21401137147,21401,0.000265971162808496,0.0123447373331969
21401137151,21401,0.000414232808838322,0.0192261264939587
21401137153,21401,0.000427585153130538,0.019845859781317
21401137203,21401,0.000382120129336997,0.0177356544092297
21401137205,21401,0.000392624686796135,0.0182232110347872
21401137214,21401,0.000419967952032824,0.0194923163904754
21401137218,21401,0.0003046261424541,0.0141388625507816
21401137222,21401,0.000383038327769265,0.0177782715048066
21401137223,21401,0.00039287799766182,0.0182349681593849
21401137225,21401,0.000408956580086175,0.0189812365691739
21401137233,21401,0.000350890120089894,0.0162861504216625
21401137235,21401,0.000336945709112463,0.0156389370585113
21401137237,21401,0.000323483784406951,0.0150141177257159
21401137239,21401,0.000305251585817641,0.0141678917656716
21401137241,21401,0.000381788566778975,0.01772026532477
21401137242,21401,0.000381247832027316,0.0176951677600352
21401137246,21401,0.000368466251014933,0.0171019257760745
21401137304,21401,0.000289962793091887,0.013458280511774
21401137307,21401,0.000274184236465895,0.0127259374449992
21401137312,21401,0.000351815731860591,0.0163291115985853
21401137328,21401,0.000268991498215736,0.0124849226332378
21401137405,21401,0.000183467256755227,0.00851541599461369
21401137419,21401,0.000137088962165194,0.00636282223734304
21401137426,21401,0.000175103939833592,0.00812724251918244
21401137428,21401,0.000274697644187152,0.0127497666578989
21401137434,21401,0.000151098397890864,0.00701305364737084
21401137435,21401,0.000225866046654854,0.0104833057426205
21401137447,21401,0.000157172045059337,0.00729495480596862
21401137448,21401,0.000168189446714943,0.00780631448908852
21401137449,21401,0.000166658043949771,0.00773523623877087
21401137454,21401,0.000263191003191758,0.0122156995087554
21401137504,21401,0.000338640008133992,0.0157175759461403
